FOLIO	SALES	LNSALES	LAND	IMP	TOTVAL	NBHD
594031020	760.0	6.63332	96.10	335.59	431.69	HUNTERSGREEN
594031044	410.0	6.01616	75.79	274.22	350.01	HUNTERSGREEN
594031064	335.0	5.81413	67.22	273.66	340.88	HUNTERSGREEN
594031066	840.0	6.73340	68.22	375.02	443.24	HUNTERSGREEN
594031072	430.0	6.06379	57.77	297.55	355.32	HUNTERSGREEN
594031210	204.0	5.31812	36.44	157.48	193.92	HUNTERSGREEN
594031236	275.0	5.61677	47.61	176.14	223.75	HUNTERSGREEN
594031250	330.0	5.79909	40.56	222.64	263.21	HUNTERSGREEN
594031508	202.0	5.30827	32.53	111.33	143.86	HUNTERSGREEN
594031534	200.0	5.29832	31.68	121.46	153.14	HUNTERSGREEN
594031572	256.0	5.54518	30.60	146.73	177.33	HUNTERSGREEN
594031574	248.0	5.51343	30.30	138.84	169.14	HUNTERSGREEN
594031618	200.0	5.29832	38.81	114.06	152.87	HUNTERSGREEN
594031740	319.0	5.76519	49.36	184.43	233.79	HUNTERSGREEN
594031742	305.0	5.72031	50.22	172.64	222.86	HUNTERSGREEN
594031778	340.0	5.82895	39.84	180.05	219.89	HUNTERSGREEN
594031830	185.0	5.22036	39.08	117.11	156.19	HUNTERSGREEN
594031956	210.0	5.34711	35.51	125.71	161.22	HUNTERSGREEN
594032024	212.0	5.35659	38.09	101.98	140.07	HUNTERSGREEN
594032482	260.0	5.56068	40.30	212.92	253.22	HUNTERSGREEN
594032490	295.0	5.68698	48.58	246.91	295.49	HUNTERSGREEN
594032516	181.0	5.19850	33.75	100.12	133.87	HUNTERSGREEN
594032524	195.0	5.27300	38.77	118.26	157.03	HUNTERSGREEN
594032528	253.0	5.53339	38.77	113.99	152.76	HUNTERSGREEN
594032536	212.0	5.35659	38.77	114.19	152.96	HUNTERSGREEN
594032644	210.0	5.34711	31.20	126.19	157.39	HUNTERSGREEN
594032684	245.0	5.50126	31.20	130.12	161.32	HUNTERSGREEN
594032704	195.0	5.27300	35.39	120.58	155.97	HUNTERSGREEN
594032910	499.9	6.21441	46.69	292.18	338.87	HUNTERSGREEN
594032956	407.0	6.00881	63.03	268.38	331.41	HUNTERSGREEN
594032974	320.0	5.76832	45.45	266.03	311.48	HUNTERSGREEN
594033246	335.0	5.81413	77.00	219.76	296.76	HUNTERSGREEN
594033256	325.0	5.78383	37.50	216.75	254.25	HUNTERSGREEN
594033316	1025.0	6.93245	153.28	533.28	686.55	HUNTERSGREEN
594033348	1550.0	7.34601	94.08	906.47	1000.55	HUNTERSGREEN
594033380	350.0	5.85793	47.22	235.97	283.19	HUNTERSGREEN
594033392	415.0	6.02828	53.04	253.71	306.75	HUNTERSGREEN
594033416	300.0	5.70378	55.45	225.65	281.10	HUNTERSGREEN
594033458	260.0	5.56068	39.60	199.77	239.37	HUNTERSGREEN
594033680	190.0	5.24702	27.60	97.44	125.04	HUNTERSGREEN
594033774	163.0	5.09375	35.23	114.99	150.23	HUNTERSGREEN
594033798	140.0	4.94164	24.25	91.82	116.07	HUNTERSGREEN
594033934	325.0	5.78383	47.02	241.87	288.90	HUNTERSGREEN
594033956	380.0	5.94017	47.74	307.20	354.94	HUNTERSGREEN
594033970	640.0	6.46147	45.55	336.44	381.99	HUNTERSGREEN
594034072	262.0	5.56834	51.97	152.96	204.94	HUNTERSGREEN
594034084	190.0	5.24702	51.25	151.68	202.94	HUNTERSGREEN
1176450000	500.0	6.21461	256.13	152.78	408.91	HYDEPARK
1186250000	550.0	6.30992	168.45	310.12	478.56	HYDEPARK
1186260000	205.8	5.32690	168.45	41.60	210.05	HYDEPARK
1692460000	590.0	6.38012	291.09	66.90	357.99	DAVISISLES
1692730000	525.0	6.26340	462.43	114.13	576.56	DAVISISLES
1692990000	340.0	5.82895	199.66	80.43	280.09	DAVISISLES
1693500000	3200.0	8.07091	1004.59	1129.65	2134.23	DAVISISLES
1694120000	500.0	6.21461	358.43	55.89	414.32	DAVISISLES
1694450000	1421.0	7.25912	391.46	550.78	942.24	DAVISISLES
1853130000	858.9	6.75565	242.47	281.62	524.09	HYDEPARK
1853270000	625.0	6.43775	264.00	184.63	448.63	HYDEPARK
1854060000	375.0	5.92693	242.00	33.79	275.79	HYDEPARK
1854250000	1240.0	7.12287	264.00	466.82	730.82	HYDEPARK
1855080000	850.0	6.74524	266.64	333.18	599.82	HYDEPARK
1855250000	2500.0	7.82405	533.28	1221.20	1754.48	HYDEPARK
1855590000	750.0	6.62007	266.64	366.05	632.69	HYDEPARK
1856430000	895.0	6.79682	266.64	358.77	625.41	HYDEPARK
1856800000	460.0	6.13123	264.00	183.54	447.54	HYDEPARK
1856960000	605.0	6.40523	210.00	259.67	469.67	HYDEPARK
1857420000	329.9	5.79879	210.00	105.94	315.94	HYDEPARK
1857460000	462.0	6.13556	210.00	145.19	355.19	HYDEPARK
1858190000	850.0	6.74524	264.00	362.71	626.71	HYDEPARK
1858440000	1525.0	7.32975	335.61	862.34	1197.95	HYDEPARK
1858450000	1400.0	7.24423	350.90	711.34	1062.24	HYDEPARK
1858770000	760.0	6.63332	264.00	257.47	521.47	HYDEPARK
1859190000	520.0	6.25383	250.23	157.75	407.98	HYDEPARK
1859400000	418.0	6.03548	193.20	147.43	340.63	HYDEPARK
1859590000	152.0	5.02388	118.80	106.14	224.94	HYDEPARK
1859620000	330.0	5.79909	118.80	123.98	242.78	HYDEPARK
1860510000	240.0	5.48064	192.01	221.54	413.55	HYDEPARK
1860580000	405.0	6.00389	223.74	122.18	345.92	HYDEPARK
1860890000	650.0	6.47697	203.49	209.11	412.60	HYDEPARK
1860920000	400.0	5.99146	203.49	101.58	305.07	HYDEPARK
1861000000	365.0	5.89990	207.48	112.78	320.26	HYDEPARK
1861490000	455.0	6.12030	210.00	109.48	319.48	HYDEPARK
1861820000	625.0	6.43775	231.57	213.67	445.24	HYDEPARK
1861920000	380.0	5.94017	131.25	134.89	266.14	HYDEPARK
1861950000	499.9	6.21441	178.50	229.33	407.83	HYDEPARK
1862140000	640.0	6.46147	353.43	137.09	490.52	HYDEPARK
1948060000	325.0	5.78383	271.46	57.29	328.75	DAVISISLES
1948470000	1775.0	7.48156	702.00	205.18	907.17	DAVISISLES
1949010000	1000.0	6.90776	693.51	186.54	880.05	DAVISISLES
1949630000	580.0	6.36303	435.60	189.18	624.78	DAVISISLES
1949835000	920.0	6.82437	269.39	410.80	680.19	DAVISISLES
1951170000	259.9	5.56030	276.57	31.93	308.50	DAVISISLES
1951600000	400.0	5.99146	204.86	50.19	255.06	DAVISISLES
1952750050	890.0	6.79122	223.52	621.07	844.59	DAVISISLES
1953480000	545.0	6.30079	171.00	295.67	466.67	DAVISISLES
1953780100	960.0	6.86693	327.67	426.63	754.29	DAVISISLES
1953800000	970.0	6.87730	653.40	134.78	788.18	DAVISISLES
1953810000	615.0	6.42162	497.95	63.84	561.79	DAVISISLES
1953960000	745.0	6.61338	291.63	83.22	374.85	DAVISISLES
1954130000	1650.0	7.40853	388.82	1023.36	1412.18	DAVISISLES
1954320000	1250.0	7.13090	648.96	81.01	729.97	DAVISISLES
1954870000	715.0	6.57228	344.12	265.18	609.30	DAVISISLES
1955990000	1215.0	7.10250	341.86	785.66	1127.52	DAVISISLES
1956790000	1090.0	6.99393	724.78	359.94	1084.72	DAVISISLES
1956870000	975.0	6.88244	366.25	303.46	669.71	DAVISISLES
1957140000	1017.0	6.92461	248.45	691.70	940.15	DAVISISLES
1957160000	1025.0	6.93245	271.76	497.77	769.53	DAVISISLES
1957540000	625.0	6.43775	265.13	54.10	319.22	DAVISISLES
1957750000	700.0	6.55108	217.67	333.03	550.70	DAVISISLES
1957870000	327.0	5.78996	188.50	33.95	222.44	DAVISISLES
1958450000	725.0	6.58617	231.19	319.57	550.75	DAVISISLES
1958710000	405.0	6.00389	217.11	48.18	265.29	DAVISISLES
1959000000	327.0	5.78996	185.61	50.77	236.37	DAVISISLES
1959850000	515.0	6.24417	181.04	229.97	411.02	DAVISISLES
1959920000	999.0	6.90675	232.62	582.10	814.72	DAVISISLES
1959950000	850.0	6.74524	201.14	604.45	805.60	DAVISISLES
1960000100	490.0	6.19441	164.90	175.21	340.11	DAVISISLES
1960100000	440.0	6.08677	179.52	58.40	237.92	DAVISISLES
1962380000	690.0	6.53669	357.07	121.25	478.33	DAVISISLES
1964590000	587.5	6.37588	300.93	75.99	376.92	DAVISISLES
1966620000	377.5	5.93357	238.86	43.95	282.81	DAVISISLES
1968140000	810.0	6.69703	195.84	479.00	674.84	DAVISISLES
1969380000	800.0	6.68461	242.47	367.40	609.87	HYDEPARK
48840000	165.0	5.10595	21.89	81.35	103.23	TOWN&CNTRY
49360000	180.0	5.19296	19.58	107.34	126.92	TOWN&CNTRY
49370000	114.3	4.73883	23.04	77.45	100.49	TOWN&CNTRY
49480000	120.0	4.78749	23.04	93.86	116.90	TOWN&CNTRY
49530000	116.5	4.75789	20.74	102.48	123.22	TOWN&CNTRY
50340000	155.0	5.04343	24.73	82.22	106.95	TOWN&CNTRY
50400000	181.9	5.20346	23.76	140.09	163.85	TOWN&CNTRY
50490000	199.0	5.29330	28.20	84.00	112.20	TOWN&CNTRY
50490122	141.0	4.94876	24.30	96.76	121.06	TOWN&CNTRY
50490166	139.9	4.94093	22.12	98.25	120.36	TOWN&CNTRY
70690000	180.5	5.19573	18.33	88.40	106.73	TOWN&CNTRY
71100000	148.4	4.99991	18.77	69.59	88.36	TOWN&CNTRY
71710000	128.5	4.85593	22.08	67.78	89.86	TOWN&CNTRY
72000000	186.0	5.22575	18.49	96.21	114.71	TOWN&CNTRY
72690000	100.0	4.60517	19.50	71.76	91.25	TOWN&CNTRY
72840000	167.0	5.11799	17.39	67.69	85.08	TOWN&CNTRY
74160000	167.0	5.11799	21.53	90.34	111.87	TOWN&CNTRY
74960000	105.0	4.65396	22.36	78.20	100.56	TOWN&CNTRY
75590000	132.0	4.88280	25.32	82.09	107.41	TOWN&CNTRY
75920000	145.0	4.97673	20.37	73.34	93.71	TOWN&CNTRY
76520000	122.5	4.80811	22.70	69.59	92.29	TOWN&CNTRY
76660000	150.0	5.01064	23.28	83.33	106.61	TOWN&CNTRY
76800000	131.0	4.87520	19.18	77.16	96.34	TOWN&CNTRY
76830000	85.5	4.44852	19.74	77.28	97.02	TOWN&CNTRY
77690000	145.0	4.97673	20.95	105.68	126.63	TOWN&CNTRY
78910000	164.9	5.10534	22.95	78.03	100.99	TOWN&CNTRY
79000000	120.0	4.78749	23.94	97.12	121.06	TOWN&CNTRY
79670000	145.0	4.97673	23.33	76.48	99.81	TOWN&CNTRY
79760000	169.0	5.12990	24.06	79.65	103.71	TOWN&CNTRY
80220000	114.0	4.73620	22.12	90.77	112.88	TOWN&CNTRY
80300000	145.0	4.97673	21.89	92.56	114.45	TOWN&CNTRY
89170000	100.0	4.60517	18.33	81.44	99.77	TOWN&CNTRY
92490000	189.0	5.24175	19.87	82.17	102.05	TOWN&CNTRY
92490108	77.6	4.35157	20.60	55.23	75.83	TOWN&CNTRY
92490406	107.4	4.67656	20.16	67.45	87.61	TOWN&CNTRY
92950000	59.1	4.07923	16.92	38.85	55.77	TOWN&CNTRY
93250000	106.0	4.66344	16.92	69.06	85.98	TOWN&CNTRY
93740000	98.0	4.58497	18.05	66.57	84.61	TOWN&CNTRY
93850000	85.0	4.44265	16.56	63.08	79.64	TOWN&CNTRY
96270000	87.0	4.46591	19.32	57.55	76.87	TOWN&CNTRY
96460000	114.9	4.74406	20.98	78.90	99.87	TOWN&CNTRY
98020000	123.0	4.81218	19.32	65.50	84.82	TOWN&CNTRY
99820100	113.0	4.72739	21.82	50.95	72.78	TOWN&CNTRY
100930000	59.9	4.09268	16.56	58.64	75.20	TOWN&CNTRY
101000000	133.9	4.89709	16.56	58.63	75.19	TOWN&CNTRY
113800000	105.0	4.65396	17.39	62.23	79.62	TOWN&CNTRY
114740000	69.0	4.23411	16.56	53.07	69.63	TOWN&CNTRY
114900000	147.7	4.99518	26.50	60.81	87.31	TOWN&CNTRY
115810000	120.0	4.78749	17.66	65.24	82.90	TOWN&CNTRY
116020000	110.0	4.70048	17.66	53.73	71.39	TOWN&CNTRY
116990000	78.0	4.35671	17.11	77.28	94.40	TOWN&CNTRY
117030000	155.0	5.04343	17.11	68.42	85.53	TOWN&CNTRY
117200000	150.0	5.01064	17.39	60.45	77.84	TOWN&CNTRY
117790000	130.0	4.86753	18.49	81.25	99.74	TOWN&CNTRY
118050000	185.0	5.22036	22.36	74.87	97.23	TOWN&CNTRY
152976330	2100.0	7.64969	297.00	961.74	1258.73	AVILA
154608302	1020.0	6.92756	248.75	622.56	871.30	AVILA
157671192	2850.0	7.95507	343.27	1714.98	2058.26	AVILA
158933006	770.0	6.64639	285.69	344.74	630.43	AVILA
158933132	1150.0	7.04752	280.61	387.02	667.63	AVILA
158933522	840.0	6.73340	272.49	530.52	803.01	AVILA
158933536	1275.0	7.15070	291.78	579.68	871.46	AVILA
158933590	920.4	6.82481	297.00	512.21	809.21	AVILA
158933716	1500.0	7.31322	341.01	923.34	1264.35	AVILA
158934110	1200.0	7.09008	314.73	599.28	914.01	AVILA
158934202	1750.0	7.46737	284.74	829.76	1114.50	AVILA
173565222	1400.0	7.24423	318.61	771.62	1090.23	AVILA
189547898	278.5	5.62942	48.91	120.65	169.56	CARROLLWOOD
189548540	350.0	5.85793	64.08	234.09	298.17	CARROLLWOOD
189549002	160.0	5.07517	45.00	127.96	172.96	CARROLLWOOD
189549030	265.0	5.57973	32.83	132.26	165.09	CARROLLWOOD
189562796	220.0	5.39363	29.71	117.45	147.15	CARROLLWOOD
189562800	230.0	5.43808	30.00	131.02	161.02	CARROLLWOOD
189562840	175.0	5.16479	41.95	91.58	133.53	CARROLLWOOD
189562950	202.0	5.30827	28.20	98.86	127.06	CARROLLWOOD
189563072	235.0	5.45959	34.09	140.00	174.09	CARROLLWOOD
189566422	262.0	5.56834	38.80	172.37	211.17	CARROLLWOOD
189566444	255.0	5.54126	38.80	157.11	195.91	CARROLLWOOD
189566666	325.0	5.78383	45.95	232.92	278.87	CARROLLWOOD
189566740	334.0	5.81114	50.92	196.28	247.20	CARROLLWOOD
189583132	314.0	5.74939	73.67	202.18	275.85	CARROLLWOOD
189583164	300.0	5.70378	68.03	205.19	273.22	CARROLLWOOD
189585142	250.0	5.52146	50.50	185.13	235.63	CARROLLWOOD
189593044	335.0	5.81413	61.95	157.66	219.60	CARROLLWOOD
189596268	255.0	5.54126	39.93	113.58	153.51	CARROLLWOOD
189596524	275.0	5.61677	57.49	143.28	200.77	CARROLLWOOD
190006136	335.0	5.81413	56.38	203.57	259.95	CARROLLWOOD
190006304	226.5	5.42274	34.47	121.06	155.53	CARROLLWOOD
190007712	350.0	5.85793	60.00	242.88	302.88	CARROLLWOOD
190007826	340.0	5.82895	54.13	216.43	270.57	CARROLLWOOD
190007870	340.0	5.82895	47.30	195.21	242.51	CARROLLWOOD
190007934	252.0	5.52943	38.80	158.83	197.63	CARROLLWOOD
194311294	385.9	5.95558	59.32	181.35	240.67	CARROLLWOOD
194311348	295.0	5.68698	62.18	160.95	223.13	CARROLLWOOD
194311540	475.0	6.16331	79.37	219.73	299.11	CARROLLWOOD
194311690	541.0	6.29342	81.65	332.56	414.21	CARROLLWOOD
194315676	310.0	5.73657	52.02	158.91	210.93	CARROLLWOOD
194315690	370.0	5.91350	53.04	182.83	235.87	CARROLLWOOD
194318012	341.0	5.83188	71.02	163.14	234.16	CARROLLWOOD
339640762	262.5	5.57025	40.27	122.38	162.65	TAMPAPALMS
339640778	252.0	5.52943	45.07	149.51	194.58	TAMPAPALMS
339640790	270.0	5.59842	38.40	180.75	219.15	TAMPAPALMS
339640902	1700.0	7.43838	192.26	879.88	1072.13	TAMPAPALMS
339682138	450.0	6.10925	81.16	198.57	279.72	TAMPAPALMS
339682310	850.0	6.74524	117.81	402.77	520.59	TAMPAPALMS
339682378	780.0	6.65929	132.04	405.29	537.33	TAMPAPALMS
339682708	1000.0	6.90776	160.91	549.23	710.14	TAMPAPALMS
339682736	862.0	6.75926	140.26	458.93	599.19	TAMPAPALMS
339682766	1200.0	7.09008	176.65	586.33	762.98	TAMPAPALMS
339683028	435.0	6.07535	54.60	241.70	296.30	TAMPAPALMS
339683034	400.0	5.99146	62.91	249.26	312.16	TAMPAPALMS
339683110	340.0	5.82895	50.58	217.64	268.23	TAMPAPALMS
339683514	460.0	6.13123	63.48	266.88	330.37	TAMPAPALMS
339683552	448.0	6.10479	54.78	251.42	306.20	TAMPAPALMS
339683760	660.0	6.49224	122.84	323.86	446.70	TAMPAPALMS
339683776	800.0	6.68461	108.16	400.61	508.77	TAMPAPALMS
339684018	455.0	6.12030	80.60	264.50	345.11	TAMPAPALMS
339684032	525.0	6.26340	73.53	293.62	367.15	TAMPAPALMS
339684060	430.0	6.06379	84.59	257.15	341.75	TAMPAPALMS
339684062	455.0	6.12030	87.94	244.20	332.14	TAMPAPALMS
339761754	335.0	5.81413	51.37	228.30	279.67	TAMPAPALMS
339761986	580.0	6.36303	74.17	284.63	358.81	TAMPAPALMS
339762330	382.0	5.94542	41.27	140.17	181.44	TAMPAPALMS
339790520	170.0	5.13580	31.72	107.12	138.85	TAMPAPALMS
339790538	215.0	5.37064	33.96	113.99	147.95	TAMPAPALMS
339790560	149.0	5.00395	28.22	93.76	121.98	TAMPAPALMS
339790562	210.0	5.34711	32.46	128.70	161.15	TAMPAPALMS
339790608	165.0	5.10595	27.05	86.03	113.08	TAMPAPALMS
339790662	205.0	5.32301	29.11	108.92	138.02	TAMPAPALMS
339790906	295.0	5.68698	39.77	159.68	199.44	TAMPAPALMS
339790942	300.0	5.70378	56.02	214.49	270.51	TAMPAPALMS
339790952	337.5	5.82157	39.51	199.29	238.79	TAMPAPALMS
339791008	270.0	5.59842	44.88	162.23	207.11	TAMPAPALMS
339791022	325.0	5.78383	58.69	204.71	263.40	TAMPAPALMS
339824298	305.0	5.72031	63.55	259.12	322.67	TAMPAPALMS
339824356	450.0	6.10925	59.77	266.19	325.96	TAMPAPALMS
339824736	300.0	5.70378	39.47	150.96	190.43	TAMPAPALMS
339824770	285.0	5.65249	42.47	149.51	191.98	TAMPAPALMS
339824800	300.0	5.70378	40.25	172.98	213.22	TAMPAPALMS
339824828	350.0	5.85793	43.17	165.60	208.76	TAMPAPALMS
347560512	275.0	5.61677	49.04	143.79	192.83	TAMPAPALMS
347560514	310.0	5.73657	52.73	151.18	203.91	TAMPAPALMS
347560676	310.0	5.73657	59.56	239.16	298.71	TAMPAPALMS
347560700	290.0	5.66988	77.77	241.27	319.03	TAMPAPALMS
347565638	230.0	5.43808	69.92	121.08	191.00	TAMPAPALMS
347565646	268.0	5.59099	85.83	127.54	213.37	TAMPAPALMS
347580216	236.0	5.46383	31.68	133.85	165.53	TAMPAPALMS
347580256	277.0	5.62402	31.68	157.54	189.22	TAMPAPALMS
347580258	210.0	5.34711	31.68	139.36	171.04	TAMPAPALMS
347580278	250.0	5.52146	41.02	136.41	177.44	TAMPAPALMS
347580328	275.0	5.61677	30.72	133.76	164.48	TAMPAPALMS
347580376	280.0	5.63479	32.96	130.34	163.30	TAMPAPALMS
347580528	550.0	6.30992	67.62	285.08	352.70	TAMPAPALMS
347580566	525.0	6.26340	65.52	307.58	373.10	TAMPAPALMS
347580992	311.5	5.74140	47.50	172.02	219.52	TAMPAPALMS
347581020	300.0	5.70378	58.85	202.99	261.84	TAMPAPALMS
347581106	350.0	5.85793	54.37	186.54	240.91	TAMPAPALMS
347581316	205.0	5.32301	39.60	112.01	151.61	TAMPAPALMS
347581330	270.0	5.59842	40.59	119.68	160.27	TAMPAPALMS
347581370	250.0	5.52146	50.92	115.47	166.40	TAMPAPALMS
347581372	235.0	5.45959	38.80	118.29	157.09	TAMPAPALMS
347581428	1600.0	7.37776	97.45	1164.83	1262.27	TAMPAPALMS
347581472	1225.0	7.11070	99.64	684.72	784.36	TAMPAPALMS
347581568	1040.0	6.94698	101.15	575.55	676.70	TAMPAPALMS
347581590	860.0	6.75693	105.13	704.95	810.08	TAMPAPALMS
347581734	300.0	5.70378	40.32	128.16	168.48	TAMPAPALMS
347581782	220.0	5.39363	39.48	120.35	159.83	TAMPAPALMS
347631116	284.0	5.64897	49.95	161.78	211.74	TAMPAPALMS
347631188	334.0	5.81114	46.29	198.63	244.92	TAMPAPALMS
347631374	247.7	5.51222	23.52	122.93	146.45	TAMPAPALMS
347631418	159.0	5.06890	26.88	104.92	131.80	TAMPAPALMS
347631460	200.0	5.29832	26.22	104.84	131.05	TAMPAPALMS
347631704	449.0	6.10702	46.33	233.24	279.57	TAMPAPALMS
347631738	408.0	6.01127	49.85	227.35	277.20	TAMPAPALMS
